steps,avg_reward,success_rate,sps
100000,231.41702512518737,0.0,1309
200000,237.63824679157113,0.0,1146
300000,249.66526611032867,0.0,1169
400000,323.8570361259754,0.0,1099
500000,400.6363970525126,0.0,1106
600000,466.72747743042504,0.0,1069
700000,568.7215090856329,0.0,1072
800000,623.9959882218717,0.0,1044
900000,746.1845508724638,0.0,1047
1000000,774.7571125111449,0.0,1030
1100000,816.8867628827319,0.0,1036
1200000,878.189795775367,0.0,1023
1300000,884.8053940606118,0.0,1028
1400000,942.8037418657541,0.0,1020
1500000,904.7890044461935,0.0,1026
1600000,960.5721555837989,0.0,1019
1700000,971.006205790937,0.0,1026
1800000,1014.8297868555784,0.0,1020
1900000,1020.3894955912233,0.0,1027
2000000,1041.8544624253364,0.0,1023
2100000,1099.4489069408178,0.0,1020
2200000,1172.3288017572836,0.0,1027
2300000,1218.79190437831,0.0,1023
2400000,1318.5394067923726,0.0,1029
2500000,1525.67759827096,0.0,1027
2600000,1579.1246568523102,0.0,1033
2700000,1686.9044277274609,0.0,1032
2800000,1685.8236468552798,0.0,1038
2900000,1637.6435078151524,0.0,1036
3000000,1946.900232154727,0.0,1042
3100000,1910.7752191334962,0.0,1041
3200000,2188.094899546504,0.0,1046
3300000,2265.19220721975,0.0,1045
3400000,2513.872843054533,0.0,1051
3500000,2628.067096646428,0.0,1050
3600000,2704.406358870268,0.0,1055
3700000,2618.5867714095116,0.0,1054
3800000,2765.5891290146114,0.0,1059
3900000,2594.151235072017,0.0,1058
4000000,2776.1365856599436,0.0,1057
4100000,2548.8209156087787,0.0,1061
4200000,2844.9561848276853,0.0,1060
4300000,2754.7089583832026,0.0,1064
4400000,2558.0396477681306,0.0,1063
4500000,2724.5962081906664,0.02,1066
4600000,2788.1966604787112,0.0,1065
4700000,2795.8016260576246,0.0,1069
4800000,2639.964217873514,0.0,1067
4900000,2581.4134368802024,0.0,1071
