steps,avg_reward,success_rate,sps
100000,17.245753010875777,0.0,1297
200000,15.411652380792802,0.0,1147
300000,14.875508499943098,0.0,1184
400000,13.56491818827286,0.0,1130
500000,18.75903907301248,0.0,1134
600000,15.373399200066924,0.0,1090
700000,16.560617254851167,0.0,1086
800000,15.015657691916822,0.0,1054
900000,15.749851919021458,0.0,1055
1000000,15.144462462486699,0.0,1033
1100000,14.75451512778178,0.0,1036
1200000,15.915033211270348,0.0,1023
1300000,15.675049485722557,0.0,1029
1400000,16.192183753661812,0.0,1019
1500000,16.064259839151056,0.0,1025
1600000,16.59131196512841,0.0,1018
1700000,15.861413556020707,0.0,1025
1800000,16.664338354635984,0.0,1020
1900000,15.721982949953526,0.0,1026
2000000,15.446869616173208,0.0,1021
2100000,15.54015221814625,0.0,1017
2200000,15.42567612271756,0.0,1022
2300000,15.053677093540573,0.0,1018
2400000,14.903853947147727,0.0,1023
2500000,14.826812832253054,0.0,1019
2600000,14.463561296239495,0.0,1024
2700000,14.888551576947794,0.0,1020
2800000,14.258058817591518,0.0,1024
2900000,14.755754028661176,0.0,1020
3000000,15.2116529961396,0.0,1024
3100000,14.347307064207998,0.0,1021
3200000,14.469504157269839,0.0,1025
3300000,14.889366562171926,0.02,1022
3400000,14.410988635853863,0.0,1026
3500000,14.434710625214501,0.0,1023
3600000,14.615574471815489,0.0,1026
3700000,14.58954108542297,0.0,1024
3800000,14.737023419281467,0.0,1027
3900000,14.91032142456621,0.0,1025
4000000,14.769462218978441,0.0,1023
4100000,14.509574796318775,0.0,1026
4200000,14.722058832622134,0.0,1024
4300000,14.668580617764965,0.02,1027
4400000,14.551580048373289,0.0,1025
4500000,14.813013910721056,0.0,1028
4600000,15.350779923573135,0.06,1026
4700000,15.23291437686421,0.04,1029
4800000,16.079325066149615,0.12,1027
4900000,14.661339867236093,0.06,1030
5000000,15.160740066254512,0.08,1028
5100000,14.37448991453275,0.04,1031
5200000,14.776523396614357,0.04,1030
5300000,13.710359793383395,0.0,1032
5400000,13.65535940600559,0.02,1031
5500000,13.523777766430285,0.0,1033
5600000,13.806788211956155,0.04,1032
5700000,15.466279431530275,0.1,1034
5800000,13.7948115919868,0.02,1032
5900000,13.599314792081714,0.02,1031
6000000,13.292205592084269,0.04,1033
6100000,13.198800459716004,0.0,1032
6200000,12.37135645670127,0.02,1034
6300000,12.051385095831357,0.0,1033
6400000,13.720783872078172,0.04,1035
6500000,14.347257958957925,0.02,1034
6600000,13.675268810437991,0.0,1036
6700000,13.086331323862542,0.0,1034
6800000,14.763980089435353,0.02,1036
6900000,14.98570237767417,0.02,1035
7000000,14.076570723084734,0.0,1037
7100000,14.94111989200348,0.0,1036
7200000,15.643944287526175,0.04,1038
7300000,14.734158313600346,0.0,1037
7400000,16.13661592505465,0.0,1039
7500000,14.712518720834632,0.02,1038
7600000,15.537059361549618,0.02,1040
7700000,15.628683585384861,0.04,1039
7800000,15.411186837725108,0.02,1038
7900000,15.97889975494705,0.0,1040
