steps,avg_reward,success_rate,sps
100000,1.4243968946185124,0.0,1330
200000,1.1357793143752042,0.0,1161
300000,0.9245213659487013,0.0,1185
400000,1.03462296828415,0.0,1130
500000,1.2272398757850487,0.0,1144
600000,1.3293915773767822,0.0,1110
700000,1.3520048595475351,0.0,1122
800000,1.1692163773977335,0.0,1103
900000,1.2235453969568335,0.0,1119
1000000,1.0144185794125633,0.0,1110
1100000,1.1854206737425579,0.0,1122
1200000,1.86419947891972,0.0,1109
1300000,2.103373210225743,0.0,1110
1400000,1.8690910727260053,0.0,1092
1500000,1.8584555988169449,0.0,1091
1600000,1.731973782068817,0.0,1075
1700000,1.6722833750303834,0.0,1075
1800000,1.5824999882886186,0.0,1063
1900000,1.643468830937345,0.0,1065
2000000,1.949899942115617,0.0,1058
2100000,9.260460699104442,0.02,1053
2200000,2.0469219395706864,0.0,1058
2300000,1.6467480352989674,0.0,1055
2400000,1.370346938691099,0.0,1061
2500000,11.880780638625584,0.06,1058
2600000,21.59762587498213,0.08,1062
2700000,16.045255255153634,0.06,1058
2800000,16.096972537656185,0.08,1062
2900000,8.952265339197094,0.04,1058
3000000,44.48138924208455,0.14,1062
3100000,55.134375527693656,0.14,1059
3200000,32.2971921009401,0.08,1063
3300000,48.99714257999605,0.14,1062
3400000,64.59584599221844,0.18,1066
3500000,21.551353026552224,0.08,1064
3600000,54.5026856406148,0.14,1068
3700000,40.15635611771852,0.1,1067
3800000,81.56159514658572,0.24,1070
3900000,53.11301684045744,0.14,1069
4000000,61.91642727246554,0.2,1068
4100000,53.012217613788906,0.16,1071
4200000,96.63322558197866,0.26,1070
4300000,137.69003378550835,0.38,1073
4400000,104.63930644138581,0.26,1071
4500000,99.9065911466164,0.26,1074
4600000,168.0808943507918,0.42,1073
4700000,110.44215227845449,0.3,1076
4800000,80.55338786631421,0.22,1075
4900000,127.5604762540963,0.3,1078
5000000,89.05192280329798,0.22,1076
5100000,134.5346172626223,0.32,1079
5200000,137.20922038611224,0.38,1078
5300000,83.35977991007543,0.22,1080
5400000,101.396532615431,0.26,1079
5500000,117.98451452273814,0.28,1082
5600000,122.82733326511173,0.3,1080
5700000,160.94455016123695,0.4,1083
5800000,192.8860833039545,0.48,1082
5900000,82.65960906913571,0.24,1080
6000000,153.29382855124638,0.38,1083
6100000,181.27872312100888,0.44,1081
6200000,115.13801463095795,0.3,1084
6300000,144.27697083352507,0.34,1082
6400000,118.90673907958683,0.32,1084
6500000,164.48249702654704,0.44,1083
6600000,156.66617155298442,0.4,1085
6700000,169.98110628363222,0.44,1084
6800000,176.68110244836447,0.42,1085
6900000,198.42955252865278,0.5,1084
7000000,119.62159255837093,0.28,1086
7100000,151.26644751262336,0.4,1085
7200000,199.87466652087133,0.48,1086
7300000,160.10901048144112,0.4,1085
7400000,140.4794132229551,0.36,1087
7500000,199.3571811919212,0.46,1085
7600000,138.06859131813843,0.32,1087
7700000,129.45662504047928,0.36,1086
7800000,179.6094558306943,0.46,1084
7900000,189.753784820613,0.46,1086
8000000,187.76045336244212,0.44,1085
8100000,192.12638952278155,0.46,1086
8200000,214.0919878893029,0.54,1085
8300000,202.84890258038575,0.52,1086
8400000,185.6107232299471,0.48,1085
8500000,146.15950468118083,0.38,1086
8600000,169.93561683537254,0.44,1085
8700000,197.4876747155123,0.46,1086
8800000,167.80631772792506,0.44,1085
8900000,215.77280995907057,0.56,1087
9000000,175.317109642903,0.46,1085
9100000,138.91787093666363,0.34,1087
9200000,164.30974234364865,0.4,1086
9300000,211.23151906017512,0.5,1087
9400000,199.43892419068405,0.5,1087
9500000,187.3205385739918,0.44,1088
9600000,193.6326352968278,0.46,1087
9700000,136.24081541230927,0.34,1086
9800000,145.35896012527542,0.34,1088
9900000,159.29438483470543,0.38,1087
10000000,116.46421622579463,0.28,1088
10100000,142.73900886708853,0.34,1088
10200000,190.27562693543143,0.5,1089
10300000,187.8505676170504,0.44,1088
10400000,136.3219334525938,0.32,1090
10500000,121.34303395377312,0.3,1089
10600000,128.63169462806783,0.32,1090
10700000,198.45360994883333,0.46,1089
10800000,136.60400696431398,0.36,1090
10900000,160.7274511525236,0.38,1089
11000000,173.58989149310318,0.42,1091
11100000,183.4422687434516,0.44,1090
11200000,135.706629652018,0.34,1091
11300000,174.2106885877366,0.4,1090
11400000,253.55773857347995,0.58,1091
11500000,179.56840410436126,0.42,1091
11600000,221.18332212171504,0.52,1090
11700000,151.9851817065421,0.38,1091
11800000,197.32619316236108,0.46,1091
11900000,147.74334578976155,0.36,1092
12000000,242.73082630518422,0.58,1091
12100000,142.3644983258959,0.34,1092
12200000,165.749094119567,0.42,1091
12300000,181.66082948489256,0.46,1092
12400000,144.36745558926177,0.34,1092
12500000,214.5357057204229,0.52,1093
12600000,204.60196642503251,0.48,1092
12700000,200.20518410763242,0.46,1093
12800000,189.65371637110414,0.44,1092
12900000,162.2953831043673,0.4,1094
13000000,207.08899808532036,0.52,1093
13100000,135.67193179247258,0.32,1094
13200000,150.6529644986508,0.38,1093
13300000,210.1734855700071,0.48,1094
13400000,213.69733993869994,0.52,1094
13500000,153.25536373343394,0.36,1095
13600000,166.51134457450837,0.4,1094
