steps,avg_reward,success_rate,sps
100000,230.52516654189677,0.0,1320
200000,222.9073993536085,0.0,1316
300000,230.97372779265046,0.0,1313
400000,252.9879708898074,0.0,1309
500000,240.24692132730968,0.0,1300
600000,96.33418642627599,0.0,1294
700000,277.0699315094459,0.0,1281
800000,200.68906949952245,0.0,1278
900000,171.20248387359084,0.0,1278
1000000,125.00802847061306,0.0,1277
1100000,222.372383417831,0.0,1274
1200000,750.8018031960353,0.0,1261
1300000,792.1088536423445,0.0,1250
1400000,201.144472073239,0.02,1250
1500000,808.0855242419243,0.0,1247
1600000,423.2627727849694,0.0,1242
1700000,352.2263047303149,0.0,1234
1800000,735.5362834009528,0.0,1227
1900000,753.5023730559786,0.0,1221
2000000,783.8610702432692,0.0,1212
2100000,827.6430727577209,0.0,1207
2200000,778.4059226030112,0.0,1202
2300000,774.3484817901253,0.0,1196
2400000,483.03753373067826,0.0,1191
2500000,575.4690372636915,0.0,1188
2600000,317.3480752060306,0.0,1187
2700000,799.149465982914,0.0,1184
2800000,629.7895460648834,0.0,1181
2900000,680.1899318066239,0.0,1179
3000000,673.1291716623306,0.0,1175
3100000,698.6848536461591,0.0,1173
3200000,725.0402934968472,0.0,1169
3300000,424.3442798271775,0.0,1167
3400000,686.1737566909194,0.0,1163
3500000,794.8048614335061,0.0,1161
3600000,637.3258585924469,0.0,1157
3700000,444.06285350322725,0.0,1155
3800000,856.7175826215744,0.0,1152
3900000,739.8256165096163,0.0,1151
4000000,787.6780690473319,0.0,1148
4100000,813.1183331781626,0.0,1146
4200000,896.9813687247038,0.0,1145
4300000,693.8679539907165,0.0,1142
4400000,828.0645261037349,0.0,1139
4500000,699.6906544372998,0.0,1138
4600000,835.7145994967223,0.0,1136
4700000,803.2795348972082,0.0,1134
4800000,855.9887758660317,0.0,1133
4900000,850.9455932144821,0.02,1132
5000000,999.4505196064338,0.0,1133
5100000,1076.1251229802333,0.0,1133
5200000,781.969176569432,0.0,1133
5300000,852.7085101503134,0.0,1133
5400000,1469.3824673074485,0.0,1133
5500000,1393.062235815078,0.0,1134
5600000,1813.4717148755583,0.0,1135
5700000,1004.0531231419742,0.02,1134
