update,global_step,lr,avg_reward,rolling_mean_10,avg_success,rolling_success_10,pg_loss,v_loss,arch_loss,angle_loss,mean_logstd,k_active,top_arch,top_prob,sps,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,32768,0.0003,0.45445978288677635,0.45445978288677635,0.0,0.0,-0.11489386856555939,0.011334661394357681,0.049642857164144516,0.0,-0.49974510073661804,3,1,0.10189937800168991,185.6176402322103,0.09167499840259552,0.10189937800168991,0.08068456500768661,0.08052965253591537,0.08057847619056702,0.08079346269369125,0.0805642381310463,0.08066411316394806,0.08051300048828125,0.08059734106063843,0.08073044568300247,0.080770343542099
2,65536,0.00029986,0.4300722162589551,0.4422659995728657,0.0,0.0,0.08270153403282166,0.008430859073996544,0.04931476339697838,0.0,-0.5038919448852539,3,1,0.1273461878299713,186.23954001995685,0.11313528567552567,0.1273461878299713,0.07719475030899048,0.06519350409507751,0.07413619756698608,0.07887198030948639,0.07468445599079132,0.07872594892978668,0.07493183761835098,0.07921823114156723,0.07874365150928497,0.07781796902418137
3,98304,0.00029972,0.43140761469598005,0.4386465379472371,0.0,0.0,0.017458809539675713,0.006026480346918106,0.04706936702132225,0.0,-0.5133189558982849,3,1,0.19368237257003784,186.22511924226504,0.1731383502483368,0.19368237257003784,0.06205780431628227,0.03734707832336426,0.05138251185417175,0.07421307265758514,0.0513676218688488,0.07389924675226212,0.05405908823013306,0.08277326077222824,0.07995175570249557,0.06612777709960938
4,131072,0.00029958000000000003,0.42884694564168563,0.4361966398708493,0.0,0.0,-0.028614506125450134,0.009075491689145565,0.038350410759449005,0.0,-0.5163552761077881,3,0,0.31690192222595215,186.09930175728627,0.31690192222595215,0.3148225247859955,0.029952580109238625,0.019765716046094894,0.025371331721544266,0.04220938682556152,0.025186076760292053,0.04151879996061325,0.026518363505601883,0.06894965469837189,0.056322552263736725,0.03248114883899689
5,163840,0.00029944,0.4155129136947702,0.4320598946356335,0.0,0.0,0.09297164529561996,0.011556102894246578,0.028155798092484474,0.0,-0.5169297456741333,3,0,0.45284804701805115,185.8572000366401,0.45284804701805115,0.3760591745376587,0.013416976667940617,0.009629049338400364,0.011774101294577122,0.018192162737250328,0.0116832060739398,0.017897415906190872,0.012200092896819115,0.037093326449394226,0.024857832118868828,0.014348606579005718
6,196608,0.0002993,0.47925035760270973,0.43992497179681284,0.0,0.0,-0.023449663072824478,0.016832850873470306,0.021387111395597458,0.0,-0.5245053768157959,3,0,0.5755139589309692,185.52255870050197,0.5755139589309692,0.34324681758880615,0.0064030601643025875,0.004796246998012066,0.005717828869819641,0.008432410657405853,0.005674863699823618,0.008305313065648079,0.005898325238376856,0.017891155555844307,0.011324657127261162,0.006795363500714302
7,229376,0.00029916000000000003,0.5043446859085656,0.4491277880984918,0.0,0.0,-0.02804075926542282,0.024216147139668465,0.01664016954600811,0.0,-0.5288549661636353,3,0,0.7088848352432251,185.09356388887463,0.7088848352432251,0.24532413482666016,0.003641406074166298,0.002786709228530526,0.0032796808518469334,0.004720079246908426,0.003255703952163458,0.004652292933315039,0.003375650616362691,0.009971474297344685,0.006258556619286537,0.0038494414184242487
8,262144,0.00029902,0.5284565871139526,0.4590438879754244,0.0,0.0,-0.040517598390579224,0.036315977573394775,0.011793721467256546,0.0,-0.5330830216407776,3,0,0.8302211761474609,184.78581094795882,0.8302211761474609,0.14295069873332977,0.002150310203433037,0.0016686045564711094,0.0019473847933113575,0.0027573704719543457,0.001933491788804531,0.0027191739063709974,0.0020014550536870956,0.005761873908340931,0.003621147247031331,0.002267309697344899
9,294912,0.00029888,0.5540626878866435,0.4696015324100043,0.0,0.0,-0.17021068930625916,0.028843993321061134,0.007892461493611336,0.0,-0.5389506220817566,3,0,0.9046059250831604,184.62756419079835,0.9046059250831604,0.07921989262104034,0.0013046078383922577,0.0010226434096693993,0.0011862069368362427,0.001659343484789133,0.0011779232881963253,0.0016370215453207493,0.0012178486213088036,0.003433129983022809,0.0021625736262649298,0.0013729776255786419
10,327680,0.00029874,0.6083478525350243,0.4834761644225063,0.0,0.0,-0.0285276360809803,0.044298477470874786,0.0053916070610284805,0.0,-0.5452274680137634,3,0,0.9427535533905029,184.5055531698452,0.9427535533905029,0.04691961780190468,0.0008374094613827765,0.0006616227910853922,0.0007637698436155915,0.0010581890819594264,0.0007585376151837409,0.0010443045757710934,0.0007834928692318499,0.0021690072026103735,0.0013704769080504775,0.000879973522387445
